version,exchange,product,effective_start,effective_end,reason,source_url
commodity-v1,GFEX,SI,2022-12-22,,day-only product: 上市通知列明三个日盘小节,https://www.gfex.com.cn/gfex/tzts/202212/44ccfcb613e442658c8ac94861e0de18.shtml
commodity-v1,INE,EC,2023-08-18,,day-only product: 上市通知完整枚举 09:00-10:15、10:30-11:30、13:30-15:00 三个日盘小节,https://www.ine.cn/publicnotice/notice/202308/t20230811_814262.html
commodity-v1,CZCE,CF,2004-06-01,2014-12-12,no night session before the product joined night trading: SR/CF/RM/MA/TA 自 2014-12-12 晚开展夜盘,https://www.czce.com.cn/cn/rootfiles/2014/12/05/1415698821329524-1415698821331547.pdf
commodity-v1,CZCE,FG,2012-12-03,2015-06-11,no night session before the product joined night trading: OI/FG/ZC 自 notice_evening=2015-06-11 起开展夜盘，目标交易日 2015-06-12,https://www.czce.com.cn/cn/rootfiles/2015/05/27/1431080885614168-1431080885616494.pdf
commodity-v1,CZCE,OI,2012-07-16,2015-06-11,no night session before the product joined night trading: OI/FG/ZC 自 notice_evening=2015-06-11 起开展夜盘，目标交易日 2015-06-12,https://www.czce.com.cn/cn/rootfiles/2015/05/27/1431080885614168-1431080885616494.pdf
commodity-v1,CZCE,RM,2012-12-28,2014-12-12,no night session before the product joined night trading: SR/CF/RM/MA/TA 自 2014-12-12 晚开展夜盘,https://www.czce.com.cn/cn/rootfiles/2014/12/05/1415698821329524-1415698821331547.pdf
commodity-v1,CZCE,SR,2006-01-06,2014-12-12,no night session before the product joined night trading: SR/CF/RM/MA/TA 自 2014-12-12 晚开展夜盘,https://www.czce.com.cn/cn/rootfiles/2014/12/05/1415698821329524-1415698821331547.pdf
commodity-v1,CZCE,TA,2006-12-18,2014-12-12,no night session before the product joined night trading: SR/CF/RM/MA/TA 自 2014-12-12 晚开展夜盘,https://www.czce.com.cn/cn/rootfiles/2014/12/05/1415698821329524-1415698821331547.pdf
commodity-v1,DCE,A,1999-01-04,2014-12-26,no night session before the product joined night trading: A/B/M/Y/JM/I 自 2014-12-26 晚加入夜盘,https://www.dce.com.cn/dalianshangpin/resource/cms/2019/04/2019042612023697006.pdf
commodity-v1,DCE,C,2004-09-22,2019-03-29,no night session before the product joined night trading: L/V/PP/EG/C/CS 自 2019-03-29 晚起新增夜盘,https://www.dce.com.cn/dalianshangpin/resource/cms/2019/04/2019042612023697006.pdf
commodity-v1,DCE,CS,2014-12-19,2019-03-29,no night session before the product joined night trading: L/V/PP/EG/C/CS 自 2019-03-29 晚起新增夜盘,https://www.dce.com.cn/dalianshangpin/resource/cms/2019/04/2019042612023697006.pdf
commodity-v1,DCE,I,2013-10-18,2014-12-26,no night session before the product joined night trading: A/B/M/Y/JM/I 自 2014-12-26 晚加入夜盘,https://www.dce.com.cn/dalianshangpin/resource/cms/2019/04/2019042612023697006.pdf
commodity-v1,DCE,J,2011-04-15,2014-07-04,no night session before the product joined night trading: P/J 为大商所首批夜盘品种，自 2014-07-04 晚起,https://www.dce.com.cn/dalianshangpin/resource/cms/2019/04/2019042612023697006.pdf
commodity-v1,DCE,JM,2013-03-22,2014-12-26,no night session before the product joined night trading: A/B/M/Y/JM/I 自 2014-12-26 晚加入夜盘,https://www.dce.com.cn/dalianshangpin/resource/cms/2019/04/2019042612023697006.pdf
commodity-v1,DCE,L,2007-07-31,2019-03-29,no night session before the product joined night trading: L/V/PP/EG/C/CS 自 2019-03-29 晚起新增夜盘,https://www.dce.com.cn/dalianshangpin/resource/cms/2019/04/2019042612023697006.pdf
commodity-v1,DCE,M,2000-07-17,2014-12-26,no night session before the product joined night trading: A/B/M/Y/JM/I 自 2014-12-26 晚加入夜盘,https://www.dce.com.cn/dalianshangpin/resource/cms/2019/04/2019042612023697006.pdf
commodity-v1,DCE,P,2007-10-29,2014-07-04,no night session before the product joined night trading: P/J 为大商所首批夜盘品种，自 2014-07-04 晚起,https://www.dce.com.cn/dalianshangpin/resource/cms/2019/04/2019042612023697006.pdf
commodity-v1,DCE,PP,2014-02-28,2019-03-29,no night session before the product joined night trading: L/V/PP/EG/C/CS 自 2019-03-29 晚起新增夜盘,https://www.dce.com.cn/dalianshangpin/resource/cms/2019/04/2019042612023697006.pdf
commodity-v1,DCE,V,2009-05-25,2019-03-29,no night session before the product joined night trading: L/V/PP/EG/C/CS 自 2019-03-29 晚起新增夜盘,https://www.dce.com.cn/dalianshangpin/resource/cms/2019/04/2019042612023697006.pdf
commodity-v1,DCE,Y,2006-01-09,2014-12-26,no night session before the product joined night trading: A/B/M/Y/JM/I 自 2014-12-26 晚加入夜盘,https://www.dce.com.cn/dalianshangpin/resource/cms/2019/04/2019042612023697006.pdf
commodity-v1,SHFE,AG,2012-05-10,2013-07-05,no night session before the product joined night trading: AU/AG 自 2013-07-05 晚开展连续交易 21:00-02:30,https://www.shfe.com.cn/publicnotice/notice/201306/t20130607_789661.html
commodity-v1,SHFE,AL,1995-04-17,2013-12-20,no night session before the product joined night trading: CU/AL/ZN/PB 自 2013-12-20 晚开展连续交易 21:00-01:00,https://www.shfe.com.cn/docview/docview_310288380.htm
commodity-v1,SHFE,AU,2008-01-09,2013-07-05,no night session before the product joined night trading: AU/AG 自 2013-07-05 晚开展连续交易 21:00-02:30,https://www.shfe.com.cn/publicnotice/notice/201306/t20130607_789661.html
commodity-v1,SHFE,CU,1995-04-17,2013-12-20,no night session before the product joined night trading: CU/AL/ZN/PB 自 2013-12-20 晚开展连续交易 21:00-01:00,https://www.shfe.com.cn/docview/docview_310288380.htm
commodity-v1,SHFE,RB,2009-03-27,2014-12-26,no night session before the product joined night trading: RB/HC/BU 自 2014-12-26 晚为 21:00-01:00，RU 为 21:00-23:00,https://www.shfe.com.cn/content/lxjy/mtbd6.html
commodity-v1,SHFE,RU,1995-05-16,2014-12-26,no night session before the product joined night trading: RB/HC/BU 自 2014-12-26 晚为 21:00-01:00，RU 为 21:00-23:00,https://www.shfe.com.cn/content/lxjy/mtbd6.html
commodity-v1,SHFE,ZN,2007-03-26,2013-12-20,no night session before the product joined night trading: CU/AL/ZN/PB 自 2013-12-20 晚开展连续交易 21:00-01:00,https://www.shfe.com.cn/docview/docview_310288380.htm
