exchange,version,trade_date,product,night_start,night_end,reason,source_url
CZCE,commodity-v1,2024-01-02,,none,none,no night session on the first trading day after a statutory holiday per the exchange standing rule notice_evening=2023-12-29,https://www.czce.com.cn/cn/rootfiles/2014/11/24/1415698818159779-1415698818161921.pdf
DCE,commodity-v1,2024-01-02,,none,none,no night session before the post-holiday session notice_evening=2023-12-29,http://qhxy.dce.com.cn/dalianshangpin/ywfw/jystz/ywtz/8589323/index.html
INE,commodity-v1,2024-01-02,,none,none,no night session before the post-holiday session notice_evening=2023-12-29,https://www.ine.cn/publicnotice/notice/202312/t20231226_814527.html
SHFE,commodity-v1,2024-01-02,,none,none,no night session before the post-holiday session notice_evening=2023-12-29,https://www.shfe.com.cn/publicnotice/notice/202312/t20231226_801163.html
CZCE,commodity-v1,2024-02-19,,none,none,no night session on the first trading day after a statutory holiday per the exchange standing rule notice_evening=2024-02-08,https://www.czce.com.cn/cn/rootfiles/2014/11/24/1415698818159779-1415698818161921.pdf
DCE,commodity-v1,2024-02-19,,none,none,no night session before the post-holiday session notice_evening=2024-02-08,http://qhxy.dce.com.cn/dalianshangpin/ywfw/jystz/ywtz/8589323/index.html
INE,commodity-v1,2024-02-19,,none,none,no night session before the post-holiday session notice_evening=2024-02-08,https://www.ine.cn/publicnotice/notice/202312/t20231226_814527.html
SHFE,commodity-v1,2024-02-19,,none,none,no night session before the post-holiday session notice_evening=2024-02-08,https://www.shfe.com.cn/publicnotice/notice/202312/t20231226_801163.html
CZCE,commodity-v1,2024-04-08,,none,none,no night session on the first trading day after a statutory holiday per the exchange standing rule notice_evening=2024-04-03,https://www.czce.com.cn/cn/rootfiles/2014/11/24/1415698818159779-1415698818161921.pdf
DCE,commodity-v1,2024-04-08,,none,none,no night session before the post-holiday session notice_evening=2024-04-03,http://qhxy.dce.com.cn/dalianshangpin/ywfw/jystz/ywtz/8589323/index.html
INE,commodity-v1,2024-04-08,,none,none,no night session before the post-holiday session notice_evening=2024-04-03,https://www.ine.cn/publicnotice/notice/202312/t20231226_814527.html
SHFE,commodity-v1,2024-04-08,,none,none,no night session before the post-holiday session notice_evening=2024-04-03,https://www.shfe.com.cn/publicnotice/notice/202312/t20231226_801163.html
CZCE,commodity-v1,2024-05-06,,none,none,no night session on the first trading day after a statutory holiday per the exchange standing rule notice_evening=2024-04-30,https://www.czce.com.cn/cn/rootfiles/2014/11/24/1415698818159779-1415698818161921.pdf
DCE,commodity-v1,2024-05-06,,none,none,no night session before the post-holiday session notice_evening=2024-04-30,http://qhxy.dce.com.cn/dalianshangpin/ywfw/jystz/ywtz/8589323/index.html
INE,commodity-v1,2024-05-06,,none,none,no night session before the post-holiday session notice_evening=2024-04-30,https://www.ine.cn/publicnotice/notice/202312/t20231226_814527.html
SHFE,commodity-v1,2024-05-06,,none,none,no night session before the post-holiday session notice_evening=2024-04-30,https://www.shfe.com.cn/publicnotice/notice/202312/t20231226_801163.html
CZCE,commodity-v1,2024-06-11,,none,none,no night session on the first trading day after a statutory holiday per the exchange standing rule notice_evening=2024-06-07,https://www.czce.com.cn/cn/rootfiles/2014/11/24/1415698818159779-1415698818161921.pdf
DCE,commodity-v1,2024-06-11,,none,none,no night session before the post-holiday session notice_evening=2024-06-07,http://qhxy.dce.com.cn/dalianshangpin/ywfw/jystz/ywtz/8589323/index.html
INE,commodity-v1,2024-06-11,,none,none,no night session before the post-holiday session notice_evening=2024-06-07,https://www.ine.cn/publicnotice/notice/202312/t20231226_814527.html
SHFE,commodity-v1,2024-06-11,,none,none,no night session before the post-holiday session notice_evening=2024-06-07,https://www.shfe.com.cn/publicnotice/notice/202312/t20231226_801163.html
CZCE,commodity-v1,2024-09-18,,none,none,no night session on the first trading day after a statutory holiday per the exchange standing rule notice_evening=2024-09-13,https://www.czce.com.cn/cn/rootfiles/2014/11/24/1415698818159779-1415698818161921.pdf
DCE,commodity-v1,2024-09-18,,none,none,no night session before the post-holiday session notice_evening=2024-09-13,http://qhxy.dce.com.cn/dalianshangpin/ywfw/jystz/ywtz/8589323/index.html
INE,commodity-v1,2024-09-18,,none,none,no night session before the post-holiday session notice_evening=2024-09-13,https://www.ine.cn/publicnotice/notice/202312/t20231226_814527.html
SHFE,commodity-v1,2024-09-18,,none,none,no night session before the post-holiday session notice_evening=2024-09-13,https://www.shfe.com.cn/publicnotice/notice/202312/t20231226_801163.html
CZCE,commodity-v1,2024-10-08,,none,none,no night session on the first trading day after a statutory holiday per the exchange standing rule notice_evening=2024-09-30,https://www.czce.com.cn/cn/rootfiles/2014/11/24/1415698818159779-1415698818161921.pdf
DCE,commodity-v1,2024-10-08,,none,none,no night session before the post-holiday session notice_evening=2024-09-30,http://qhxy.dce.com.cn/dalianshangpin/ywfw/jystz/ywtz/8589323/index.html
INE,commodity-v1,2024-10-08,,none,none,no night session before the post-holiday session notice_evening=2024-09-30,https://www.ine.cn/publicnotice/notice/202312/t20231226_814527.html
SHFE,commodity-v1,2024-10-08,,none,none,no night session before the post-holiday session notice_evening=2024-09-30,https://www.shfe.com.cn/publicnotice/notice/202312/t20231226_801163.html
CZCE,commodity-v1,2025-01-02,,none,none,no night session on the first trading day after a statutory holiday per the exchange standing rule notice_evening=2024-12-31,https://www.czce.com.cn/cn/rootfiles/2014/11/24/1415698818159779-1415698818161921.pdf
DCE,commodity-v1,2025-01-02,,none,none,no night session before the post-holiday session notice_evening=2024-12-31,http://qhxy.dce.com.cn/dalianshangpin/ywfw/jystz/ywtz/8626934/index.html
INE,commodity-v1,2025-01-02,,none,none,no night session before the post-holiday session notice_evening=2024-12-31,https://www.ine.cn/publicnotice/notice/202412/t20241223_824108.html
SHFE,commodity-v1,2025-01-02,,none,none,no night session before the post-holiday session notice_evening=2024-12-31,https://www.shfe.com.cn/publicnotice/notice/202412/t20241223_824109.html
CZCE,commodity-v1,2025-02-05,,none,none,no night session on the first trading day after a statutory holiday per the exchange standing rule notice_evening=2025-01-27,https://www.czce.com.cn/cn/rootfiles/2014/11/24/1415698818159779-1415698818161921.pdf
DCE,commodity-v1,2025-02-05,,none,none,no night session before the post-holiday session notice_evening=2025-01-27,http://qhxy.dce.com.cn/dalianshangpin/ywfw/jystz/ywtz/8626934/index.html
INE,commodity-v1,2025-02-05,,none,none,no night session before the post-holiday session notice_evening=2025-01-27,https://www.ine.cn/publicnotice/notice/202412/t20241223_824108.html
SHFE,commodity-v1,2025-02-05,,none,none,no night session before the post-holiday session notice_evening=2025-01-27,https://www.shfe.com.cn/publicnotice/notice/202412/t20241223_824109.html
CZCE,commodity-v1,2025-04-07,,none,none,no night session on the first trading day after a statutory holiday per the exchange standing rule notice_evening=2025-04-03,https://www.czce.com.cn/cn/rootfiles/2014/11/24/1415698818159779-1415698818161921.pdf
DCE,commodity-v1,2025-04-07,,none,none,no night session before the post-holiday session notice_evening=2025-04-03,http://qhxy.dce.com.cn/dalianshangpin/ywfw/jystz/ywtz/8626934/index.html
INE,commodity-v1,2025-04-07,,none,none,no night session before the post-holiday session notice_evening=2025-04-03,https://www.ine.cn/publicnotice/notice/202412/t20241223_824108.html
SHFE,commodity-v1,2025-04-07,,none,none,no night session before the post-holiday session notice_evening=2025-04-03,https://www.shfe.com.cn/publicnotice/notice/202412/t20241223_824109.html
CZCE,commodity-v1,2025-05-06,,none,none,no night session on the first trading day after a statutory holiday per the exchange standing rule notice_evening=2025-04-30,https://www.czce.com.cn/cn/rootfiles/2014/11/24/1415698818159779-1415698818161921.pdf
DCE,commodity-v1,2025-05-06,,none,none,no night session before the post-holiday session notice_evening=2025-04-30,http://qhxy.dce.com.cn/dalianshangpin/ywfw/jystz/ywtz/8626934/index.html
INE,commodity-v1,2025-05-06,,none,none,no night session before the post-holiday session notice_evening=2025-04-30,https://www.ine.cn/publicnotice/notice/202412/t20241223_824108.html
SHFE,commodity-v1,2025-05-06,,none,none,no night session before the post-holiday session notice_evening=2025-04-30,https://www.shfe.com.cn/publicnotice/notice/202412/t20241223_824109.html
CZCE,commodity-v1,2025-06-03,,none,none,no night session on the first trading day after a statutory holiday per the exchange standing rule notice_evening=2025-05-30,https://www.czce.com.cn/cn/rootfiles/2014/11/24/1415698818159779-1415698818161921.pdf
DCE,commodity-v1,2025-06-03,,none,none,no night session before the post-holiday session notice_evening=2025-05-30,http://qhxy.dce.com.cn/dalianshangpin/ywfw/jystz/ywtz/8626934/index.html
INE,commodity-v1,2025-06-03,,none,none,no night session before the post-holiday session notice_evening=2025-05-30,https://www.ine.cn/publicnotice/notice/202412/t20241223_824108.html
SHFE,commodity-v1,2025-06-03,,none,none,no night session before the post-holiday session notice_evening=2025-05-30,https://www.shfe.com.cn/publicnotice/notice/202412/t20241223_824109.html
CZCE,commodity-v1,2025-10-09,,none,none,no night session on the first trading day after a statutory holiday per the exchange standing rule notice_evening=2025-09-30,https://www.czce.com.cn/cn/rootfiles/2014/11/24/1415698818159779-1415698818161921.pdf
DCE,commodity-v1,2025-10-09,,none,none,no night session before the post-holiday session notice_evening=2025-09-30,http://qhxy.dce.com.cn/dalianshangpin/ywfw/jystz/ywtz/8626934/index.html
INE,commodity-v1,2025-10-09,,none,none,no night session before the post-holiday session notice_evening=2025-09-30,https://www.ine.cn/publicnotice/notice/202412/t20241223_824108.html
SHFE,commodity-v1,2025-10-09,,none,none,no night session before the post-holiday session notice_evening=2025-09-30,https://www.shfe.com.cn/publicnotice/notice/202412/t20241223_824109.html
CZCE,commodity-v1,2026-01-05,,none,none,no night session on the first trading day after a statutory holiday per the exchange standing rule notice_evening=2025-12-31,https://www.czce.com.cn/cn/rootfiles/2014/11/24/1415698818159779-1415698818161921.pdf
DCE,commodity-v1,2026-01-05,,none,none,no night session on the first trading day after a statutory holiday per the exchange standing rule notice_evening=2025-12-31,http://www.dce.com.cn/dce/content/2025/ywggytz/18625821.html
INE,commodity-v1,2026-01-05,,none,none,no night session before the post-holiday session notice_evening=2025-12-31,https://www.ine.cn/publicnotice/notice/202512/t20251217_829804.html
SHFE,commodity-v1,2026-01-05,,none,none,no night session before the post-holiday session notice_evening=2025-12-31,https://www.shfe.com.cn/services/calenderandholidays/holiday/
CZCE,commodity-v1,2026-02-24,,none,none,no night session on the first trading day after a statutory holiday per the exchange standing rule notice_evening=2026-02-13,https://www.czce.com.cn/cn/rootfiles/2014/11/24/1415698818159779-1415698818161921.pdf
DCE,commodity-v1,2026-02-24,,none,none,no night session before the post-holiday session notice_evening=2026-02-13,http://www.dce.com.cn/dce/content/2026/ywggytz/18627505.html
INE,commodity-v1,2026-02-24,,none,none,no night session before the post-holiday session notice_evening=2026-02-13,https://www.ine.cn/publicnotice/notice/202512/t20251217_829804.html
SHFE,commodity-v1,2026-02-24,,none,none,no night session before the post-holiday session notice_evening=2026-02-13,https://www.shfe.com.cn/services/calenderandholidays/holiday/
CZCE,commodity-v1,2026-04-07,,none,none,no night session on the first trading day after a statutory holiday per the exchange standing rule notice_evening=2026-04-03,https://www.czce.com.cn/cn/rootfiles/2014/11/24/1415698818159779-1415698818161921.pdf
DCE,commodity-v1,2026-04-07,,none,none,no night session before the post-holiday session notice_evening=2026-04-03,http://www.dce.com.cn/dce/content/2026/ywggytz/18628241.html
INE,commodity-v1,2026-04-07,,none,none,no night session before the post-holiday session notice_evening=2026-04-03,https://www.ine.cn/publicnotice/notice/202512/t20251217_829804.html
SHFE,commodity-v1,2026-04-07,,none,none,no night session before the post-holiday session notice_evening=2026-04-03,https://www.shfe.com.cn/services/calenderandholidays/holiday/
SHFE,commodity-v1,2013-09-23,,none,none,no night session before the post-holiday session notice_evening=2013-09-18,https://www.shfe.com.cn/publicnotice/notice/201309/t20130910_789836.html
SHFE,commodity-v1,2013-10-08,,none,none,no night session before the post-holiday session notice_evening=2013-09-30,https://www.shfe.com.cn/publicnotice/notice/201309/t20130910_789836.html
SHFE,commodity-v1,2014-01-02,,none,none,no night session before the post-holiday session notice_evening=2013-12-31,https://www.shfe.com.cn/publicnotice/notice/201312/t20131224_790109.html
SHFE,commodity-v1,2014-02-07,,none,none,no night session before the post-holiday session notice_evening=2014-01-30,https://www.shfe.com.cn/publicnotice/notice/201312/t20131224_790109.html
SHFE,commodity-v1,2014-04-08,,none,none,no night session before the post-holiday session notice_evening=2014-04-04,https://www.shfe.com.cn/publicnotice/notice/201312/t20131224_790109.html
