类别,交易所,品种,合约代码,交易日,缺失时段(北京时间),归档现状,判定依据
A 日盘整段缺失,上期所,AL,AL2002,2020-01-02,09:00–15:00（日盘全段）,该品种当日全部合约日盘 0 根 K 线；同日夜盘 K 线完整,整品种日盘为空，夜盘正常，非停牌
A 日盘整段缺失,上期所,AL,AL2003,2020-01-02,09:00–15:00（日盘全段）,该品种当日全部合约日盘 0 根 K 线；同日夜盘 K 线完整,整品种日盘为空，夜盘正常，非停牌
A 日盘整段缺失,上期所,AL,AL2004,2020-01-02,09:00–15:00（日盘全段）,该品种当日全部合约日盘 0 根 K 线；同日夜盘 K 线完整,整品种日盘为空，夜盘正常，非停牌
A 日盘整段缺失,上期所,AL,AL2005,2020-01-02,09:00–15:00（日盘全段）,该品种当日全部合约日盘 0 根 K 线；同日夜盘 K 线完整,整品种日盘为空，夜盘正常，非停牌
A 日盘整段缺失,上期所,AL,AL2006,2020-01-02,09:00–15:00（日盘全段）,该品种当日全部合约日盘 0 根 K 线；同日夜盘 K 线完整,整品种日盘为空，夜盘正常，非停牌
A 日盘整段缺失,上期所,AL,AL2007,2020-01-02,09:00–15:00（日盘全段）,该品种当日全部合约日盘 0 根 K 线；同日夜盘 K 线完整,整品种日盘为空，夜盘正常，非停牌
A 日盘整段缺失,上期所,AL,AL2008,2020-01-02,09:00–15:00（日盘全段）,该品种当日全部合约日盘 0 根 K 线；同日夜盘 K 线完整,整品种日盘为空，夜盘正常，非停牌
A 日盘整段缺失,上期所,AL,AL2009,2020-01-02,09:00–15:00（日盘全段）,该品种当日全部合约日盘 0 根 K 线；同日夜盘 K 线完整,整品种日盘为空，夜盘正常，非停牌
A 日盘整段缺失,上期所,AL,AL2010,2020-01-02,09:00–15:00（日盘全段）,该品种当日全部合约日盘 0 根 K 线；同日夜盘 K 线完整,整品种日盘为空，夜盘正常，非停牌
A 日盘整段缺失,上期所,AL,AL2011,2020-01-02,09:00–15:00（日盘全段）,该品种当日全部合约日盘 0 根 K 线；同日夜盘 K 线完整,整品种日盘为空，夜盘正常，非停牌
A 日盘整段缺失,上期所,AL,AL2012,2020-01-02,09:00–15:00（日盘全段）,该品种当日全部合约日盘 0 根 K 线；同日夜盘 K 线完整,整品种日盘为空，夜盘正常，非停牌
A 日盘整段缺失,上期所,FU,FU2002,2020-01-02,09:00–15:00（日盘全段）,该品种当日全部合约日盘 0 根 K 线；同日夜盘 K 线完整,整品种日盘为空，夜盘正常，非停牌
A 日盘整段缺失,上期所,FU,FU2003,2020-01-02,09:00–15:00（日盘全段）,该品种当日全部合约日盘 0 根 K 线；同日夜盘 K 线完整,整品种日盘为空，夜盘正常，非停牌
A 日盘整段缺失,上期所,FU,FU2004,2020-01-02,09:00–15:00（日盘全段）,该品种当日全部合约日盘 0 根 K 线；同日夜盘 K 线完整,整品种日盘为空，夜盘正常，非停牌
A 日盘整段缺失,上期所,FU,FU2005,2020-01-02,09:00–15:00（日盘全段）,该品种当日全部合约日盘 0 根 K 线；同日夜盘 K 线完整,整品种日盘为空，夜盘正常，非停牌
A 日盘整段缺失,上期所,FU,FU2006,2020-01-02,09:00–15:00（日盘全段）,该品种当日全部合约日盘 0 根 K 线；同日夜盘 K 线完整,整品种日盘为空，夜盘正常，非停牌
A 日盘整段缺失,上期所,FU,FU2007,2020-01-02,09:00–15:00（日盘全段）,该品种当日全部合约日盘 0 根 K 线；同日夜盘 K 线完整,整品种日盘为空，夜盘正常，非停牌
A 日盘整段缺失,上期所,FU,FU2008,2020-01-02,09:00–15:00（日盘全段）,该品种当日全部合约日盘 0 根 K 线；同日夜盘 K 线完整,整品种日盘为空，夜盘正常，非停牌
A 日盘整段缺失,上期所,FU,FU2009,2020-01-02,09:00–15:00（日盘全段）,该品种当日全部合约日盘 0 根 K 线；同日夜盘 K 线完整,整品种日盘为空，夜盘正常，非停牌
A 日盘整段缺失,上期所,FU,FU2010,2020-01-02,09:00–15:00（日盘全段）,该品种当日全部合约日盘 0 根 K 线；同日夜盘 K 线完整,整品种日盘为空，夜盘正常，非停牌
A 日盘整段缺失,上期所,FU,FU2011,2020-01-02,09:00–15:00（日盘全段）,该品种当日全部合约日盘 0 根 K 线；同日夜盘 K 线完整,整品种日盘为空，夜盘正常，非停牌
A 日盘整段缺失,上期所,FU,FU2012,2020-01-02,09:00–15:00（日盘全段）,该品种当日全部合约日盘 0 根 K 线；同日夜盘 K 线完整,整品种日盘为空，夜盘正常，非停牌
A 日盘整段缺失,上期所,FU,FU2101,2020-01-02,09:00–15:00（日盘全段）,该品种当日全部合约日盘 0 根 K 线；同日夜盘 K 线完整,整品种日盘为空，夜盘正常，非停牌
B 整所夜盘成交丢失,大商所,I,I1709,2017-03-30,21:00–23:30,150 根 K 线齐全但成交量全 0、收盘价单一值＝当日结算价,"前一交易夜 727,912 手、后一交易夜 861,134 手；同夜上期所 4,364,772 手、郑商所 2,300,458 手，正常"
B 整所夜盘成交丢失,大商所,M,M1709,2017-03-30,21:00–23:30,150 根 K 线齐全但成交量全 0、收盘价单一值＝当日结算价,"前一交易夜 362,394 手、后一交易夜 465,650 手；同夜上期所 4,364,772 手、郑商所 2,300,458 手，正常"
B 整所夜盘成交丢失,大商所,Y,Y1709,2017-03-30,21:00–23:30,150 根 K 线齐全但成交量全 0、收盘价单一值＝当日结算价,"前一交易夜 230,876 手、后一交易夜 152,544 手；同夜上期所 4,364,772 手、郑商所 2,300,458 手，正常"
B 整所夜盘成交丢失,大商所,P,P1709,2017-03-30,21:00–23:30,150 根 K 线齐全但成交量全 0、收盘价单一值＝当日结算价,"前一交易夜 154,650 手、后一交易夜 180,640 手；同夜上期所 4,364,772 手、郑商所 2,300,458 手，正常"
B 整所夜盘成交丢失,大商所,M,M1705,2017-03-30,21:00–23:30,150 根 K 线齐全但成交量全 0、收盘价单一值＝当日结算价,"前一交易夜 54,546 手、后一交易夜 74,952 手；同夜上期所 4,364,772 手、郑商所 2,300,458 手，正常"
B 整所夜盘成交丢失,大商所,I,I1705,2017-03-30,21:00–23:30,150 根 K 线齐全但成交量全 0、收盘价单一值＝当日结算价,"前一交易夜 88,526 手、后一交易夜 40,450 手；同夜上期所 4,364,772 手、郑商所 2,300,458 手，正常"
B 整所夜盘成交丢失,大商所,A,A1709,2017-03-30,21:00–23:30,150 根 K 线齐全但成交量全 0、收盘价单一值＝当日结算价,"前一交易夜 50,246 手、后一交易夜 60,032 手；同夜上期所 4,364,772 手、郑商所 2,300,458 手，正常"
B 整所夜盘成交丢失,大商所,JM,JM1709,2017-03-30,21:00–23:30,150 根 K 线齐全但成交量全 0、收盘价单一值＝当日结算价,"前一交易夜 24,982 手、后一交易夜 67,712 手；同夜上期所 4,364,772 手、郑商所 2,300,458 手，正常"
B 整所夜盘成交丢失,大商所,Y,Y1705,2017-03-30,21:00–23:30,150 根 K 线齐全但成交量全 0、收盘价单一值＝当日结算价,"前一交易夜 43,696 手、后一交易夜 31,692 手；同夜上期所 4,364,772 手、郑商所 2,300,458 手，正常"
B 整所夜盘成交丢失,大商所,J,J1709,2017-03-30,21:00–23:30,150 根 K 线齐全但成交量全 0、收盘价单一值＝当日结算价,"前一交易夜 33,070 手、后一交易夜 34,688 手；同夜上期所 4,364,772 手、郑商所 2,300,458 手，正常"
B 整所夜盘成交丢失,大商所,I,I1801,2017-03-30,21:00–23:30,150 根 K 线齐全但成交量全 0、收盘价单一值＝当日结算价,"前一交易夜 32,988 手、后一交易夜 29,238 手；同夜上期所 4,364,772 手、郑商所 2,300,458 手，正常"
B 整所夜盘成交丢失,大商所,JM,JM1705,2017-03-30,21:00–23:30,150 根 K 线齐全但成交量全 0、收盘价单一值＝当日结算价,"前一交易夜 19,082 手、后一交易夜 14,542 手；同夜上期所 4,364,772 手、郑商所 2,300,458 手，正常"
B 整所夜盘成交丢失,大商所,A,A1705,2017-03-30,21:00–23:30,150 根 K 线齐全但成交量全 0、收盘价单一值＝当日结算价,"前一交易夜 20,156 手、后一交易夜 10,976 手；同夜上期所 4,364,772 手、郑商所 2,300,458 手，正常"
B 整所夜盘成交丢失,大商所,M,M1801,2017-03-30,21:00–23:30,150 根 K 线齐全但成交量全 0、收盘价单一值＝当日结算价,"前一交易夜 13,640 手、后一交易夜 17,088 手；同夜上期所 4,364,772 手、郑商所 2,300,458 手，正常"
B 整所夜盘成交丢失,大商所,P,P1705,2017-03-30,21:00–23:30,150 根 K 线齐全但成交量全 0、收盘价单一值＝当日结算价,"前一交易夜 16,472 手、后一交易夜 13,862 手；同夜上期所 4,364,772 手、郑商所 2,300,458 手，正常"
B 整所夜盘成交丢失,大商所,J,J1705,2017-03-30,21:00–23:30,150 根 K 线齐全但成交量全 0、收盘价单一值＝当日结算价,"前一交易夜 18,980 手、后一交易夜 7,416 手；同夜上期所 4,364,772 手、郑商所 2,300,458 手，正常"
B 整所夜盘成交丢失,大商所,P,P1801,2017-03-30,21:00–23:30,150 根 K 线齐全但成交量全 0、收盘价单一值＝当日结算价,"前一交易夜 5,360 手、后一交易夜 9,630 手；同夜上期所 4,364,772 手、郑商所 2,300,458 手，正常"
B 整所夜盘成交丢失,大商所,Y,Y1801,2017-03-30,21:00–23:30,150 根 K 线齐全但成交量全 0、收盘价单一值＝当日结算价,"前一交易夜 4,228 手、后一交易夜 4,682 手；同夜上期所 4,364,772 手、郑商所 2,300,458 手，正常"
B 整所夜盘成交丢失,大商所,A,A1801,2017-03-30,21:00–23:30,150 根 K 线齐全但成交量全 0、收盘价单一值＝当日结算价,"前一交易夜 3,380 手、后一交易夜 1,482 手；同夜上期所 4,364,772 手、郑商所 2,300,458 手，正常"
B 整所夜盘成交丢失,大商所,A,A1805,2017-03-30,21:00–23:30,150 根 K 线齐全但成交量全 0、收盘价单一值＝当日结算价,"前一交易夜 910 手、后一交易夜 68 手；同夜上期所 4,364,772 手、郑商所 2,300,458 手，正常"
B 整所夜盘成交丢失,大商所,JM,JM1801,2017-03-30,21:00–23:30,150 根 K 线齐全但成交量全 0、收盘价单一值＝当日结算价,"前一交易夜 226 手、后一交易夜 444 手；同夜上期所 4,364,772 手、郑商所 2,300,458 手，正常"
B 整所夜盘成交丢失,大商所,J,J1801,2017-03-30,21:00–23:30,150 根 K 线齐全但成交量全 0、收盘价单一值＝当日结算价,"前一交易夜 384 手、后一交易夜 154 手；同夜上期所 4,364,772 手、郑商所 2,300,458 手，正常"
B 整所夜盘成交丢失,大商所,M,M1707,2017-03-30,21:00–23:30,150 根 K 线齐全但成交量全 0、收盘价单一值＝当日结算价,"前一交易夜 10 手、后一交易夜 66 手；同夜上期所 4,364,772 手、郑商所 2,300,458 手，正常"
B 整所夜盘成交丢失,大商所,JM,JM1706,2017-03-30,21:00–23:30,150 根 K 线齐全但成交量全 0、收盘价单一值＝当日结算价,"前一交易夜 4 手、后一交易夜 44 手；同夜上期所 4,364,772 手、郑商所 2,300,458 手，正常"
B 整所夜盘成交丢失,大商所,I,I1803,2017-03-30,21:00–23:30,150 根 K 线齐全但成交量全 0、收盘价单一值＝当日结算价,"前一交易夜 24 手、后一交易夜 16 手；同夜上期所 4,364,772 手、郑商所 2,300,458 手，正常"
B 整所夜盘成交丢失,大商所,ZC,ZC1706,2017-03-30,21:00–23:30,150 根 K 线齐全但成交量全 0、收盘价单一值＝当日结算价,"前一交易夜 2 手、后一交易夜 38 手；同夜上期所 4,364,772 手、郑商所 2,300,458 手，正常"
B 整所夜盘成交丢失,大商所,CF,CF1803,2017-03-30,21:00–23:30,150 根 K 线齐全但成交量全 0、收盘价单一值＝当日结算价,"前一交易夜 2 手、后一交易夜 34 手；同夜上期所 4,364,772 手、郑商所 2,300,458 手，正常"
B 整所夜盘成交丢失,大商所,I,I1710,2017-03-30,21:00–23:30,150 根 K 线齐全但成交量全 0、收盘价单一值＝当日结算价,"前一交易夜 4 手、后一交易夜 28 手；同夜上期所 4,364,772 手、郑商所 2,300,458 手，正常"
B 整所夜盘成交丢失,大商所,PB,PB1803,2017-03-30,21:00–23:30,240 根 K 线齐全但成交量全 0、收盘价单一值＝当日结算价,"前一交易夜 6 手、后一交易夜 4 手；同夜上期所 4,364,772 手、郑商所 2,300,458 手，正常"
B 整所夜盘成交丢失,大商所,M,M1711,2017-03-30,21:00–23:30,150 根 K 线齐全但成交量全 0、收盘价单一值＝当日结算价,"前一交易夜 2 手、后一交易夜 6 手；同夜上期所 4,364,772 手、郑商所 2,300,458 手，正常"
B 整所夜盘成交丢失,大商所,I,I1707,2017-03-30,21:00–23:30,150 根 K 线齐全但成交量全 0、收盘价单一值＝当日结算价,"前一交易夜 2 手、后一交易夜 4 手；同夜上期所 4,364,772 手、郑商所 2,300,458 手，正常"
B 整所夜盘成交丢失,大商所,CF,CF1707,2017-03-30,21:00–23:30,150 根 K 线齐全但成交量全 0、收盘价单一值＝当日结算价,"前一交易夜 2 手、后一交易夜 2 手；同夜上期所 4,364,772 手、郑商所 2,300,458 手，正常"
B 整所夜盘成交丢失,郑商所,TA,TA1709,2017-04-18,21:00–23:30,150 根 K 线齐全但成交量全 0、收盘价单一值＝当日结算价,"前一交易夜 302,688 手、后一交易夜 303,574 手；同夜上期所 3,718,732 手、大商所 2,567,862 手，正常"
B 整所夜盘成交丢失,郑商所,RM,RM1709,2017-04-18,21:00–23:30,150 根 K 线齐全但成交量全 0、收盘价单一值＝当日结算价,"前一交易夜 286,834 手、后一交易夜 315,730 手；同夜上期所 3,718,732 手、大商所 2,567,862 手，正常"
B 整所夜盘成交丢失,郑商所,MA,MA1709,2017-04-18,21:00–23:30,150 根 K 线齐全但成交量全 0、收盘价单一值＝当日结算价,"前一交易夜 248,292 手、后一交易夜 329,434 手；同夜上期所 3,718,732 手、大商所 2,567,862 手，正常"
B 整所夜盘成交丢失,郑商所,SR,SR1709,2017-04-18,21:00–23:30,150 根 K 线齐全但成交量全 0、收盘价单一值＝当日结算价,"前一交易夜 181,204 手、后一交易夜 179,930 手；同夜上期所 3,718,732 手、大商所 2,567,862 手，正常"
B 整所夜盘成交丢失,郑商所,FG,FG1709,2017-04-18,21:00–23:30,150 根 K 线齐全但成交量全 0、收盘价单一值＝当日结算价,"前一交易夜 91,270 手、后一交易夜 185,990 手；同夜上期所 3,718,732 手、大商所 2,567,862 手，正常"
B 整所夜盘成交丢失,郑商所,CF,CF1709,2017-04-18,21:00–23:30,150 根 K 线齐全但成交量全 0、收盘价单一值＝当日结算价,"前一交易夜 71,756 手、后一交易夜 154,648 手；同夜上期所 3,718,732 手、大商所 2,567,862 手，正常"
B 整所夜盘成交丢失,郑商所,OI,OI1709,2017-04-18,21:00–23:30,150 根 K 线齐全但成交量全 0、收盘价单一值＝当日结算价,"前一交易夜 111,774 手、后一交易夜 88,136 手；同夜上期所 3,718,732 手、大商所 2,567,862 手，正常"
B 整所夜盘成交丢失,郑商所,ZC,ZC1709,2017-04-18,21:00–23:30,150 根 K 线齐全但成交量全 0、收盘价单一值＝当日结算价,"前一交易夜 108,262 手、后一交易夜 87,700 手；同夜上期所 3,718,732 手、大商所 2,567,862 手，正常"
B 整所夜盘成交丢失,郑商所,ZC,ZC1705,2017-04-18,21:00–23:30,150 根 K 线齐全但成交量全 0、收盘价单一值＝当日结算价,"前一交易夜 51,242 手、后一交易夜 15,048 手；同夜上期所 3,718,732 手、大商所 2,567,862 手，正常"
B 整所夜盘成交丢失,郑商所,TA,TA1705,2017-04-18,21:00–23:30,150 根 K 线齐全但成交量全 0、收盘价单一值＝当日结算价,"前一交易夜 46,558 手、后一交易夜 18,534 手；同夜上期所 3,718,732 手、大商所 2,567,862 手，正常"
B 整所夜盘成交丢失,郑商所,SR,SR1801,2017-04-18,21:00–23:30,150 根 K 线齐全但成交量全 0、收盘价单一值＝当日结算价,"前一交易夜 30,330 手、后一交易夜 29,582 手；同夜上期所 3,718,732 手、大商所 2,567,862 手，正常"
B 整所夜盘成交丢失,郑商所,OI,OI1801,2017-04-18,21:00–23:30,150 根 K 线齐全但成交量全 0、收盘价单一值＝当日结算价,"前一交易夜 14,564 手、后一交易夜 21,844 手；同夜上期所 3,718,732 手、大商所 2,567,862 手，正常"
B 整所夜盘成交丢失,郑商所,CF,CF1705,2017-04-18,21:00–23:30,150 根 K 线齐全但成交量全 0、收盘价单一值＝当日结算价,"前一交易夜 8,208 手、后一交易夜 25,940 手；同夜上期所 3,718,732 手、大商所 2,567,862 手，正常"
B 整所夜盘成交丢失,郑商所,MA,MA1705,2017-04-18,21:00–23:30,150 根 K 线齐全但成交量全 0、收盘价单一值＝当日结算价,"前一交易夜 17,872 手、后一交易夜 9,834 手；同夜上期所 3,718,732 手、大商所 2,567,862 手，正常"
B 整所夜盘成交丢失,郑商所,RM,RM1801,2017-04-18,21:00–23:30,150 根 K 线齐全但成交量全 0、收盘价单一值＝当日结算价,"前一交易夜 11,830 手、后一交易夜 14,478 手；同夜上期所 3,718,732 手、大商所 2,567,862 手，正常"
B 整所夜盘成交丢失,郑商所,SR,SR1705,2017-04-18,21:00–23:30,150 根 K 线齐全但成交量全 0、收盘价单一值＝当日结算价,"前一交易夜 12,254 手、后一交易夜 3,134 手；同夜上期所 3,718,732 手、大商所 2,567,862 手，正常"
B 整所夜盘成交丢失,郑商所,CF,CF1801,2017-04-18,21:00–23:30,150 根 K 线齐全但成交量全 0、收盘价单一值＝当日结算价,"前一交易夜 3,068 手、后一交易夜 10,150 手；同夜上期所 3,718,732 手、大商所 2,567,862 手，正常"
B 整所夜盘成交丢失,郑商所,RM,RM1705,2017-04-18,21:00–23:30,150 根 K 线齐全但成交量全 0、收盘价单一值＝当日结算价,"前一交易夜 6,916 手、后一交易夜 5,512 手；同夜上期所 3,718,732 手、大商所 2,567,862 手，正常"
B 整所夜盘成交丢失,郑商所,OI,OI1705,2017-04-18,21:00–23:30,150 根 K 线齐全但成交量全 0、收盘价单一值＝当日结算价,"前一交易夜 4,272 手、后一交易夜 6,460 手；同夜上期所 3,718,732 手、大商所 2,567,862 手，正常"
B 整所夜盘成交丢失,郑商所,FG,FG1705,2017-04-18,21:00–23:30,150 根 K 线齐全但成交量全 0、收盘价单一值＝当日结算价,"前一交易夜 3,210 手、后一交易夜 4,388 手；同夜上期所 3,718,732 手、大商所 2,567,862 手，正常"
B 整所夜盘成交丢失,郑商所,TA,TA1801,2017-04-18,21:00–23:30,150 根 K 线齐全但成交量全 0、收盘价单一值＝当日结算价,"前一交易夜 2,450 手、后一交易夜 5,000 手；同夜上期所 3,718,732 手、大商所 2,567,862 手，正常"
B 整所夜盘成交丢失,郑商所,FG,FG1801,2017-04-18,21:00–23:30,150 根 K 线齐全但成交量全 0、收盘价单一值＝当日结算价,"前一交易夜 930 手、后一交易夜 2,800 手；同夜上期所 3,718,732 手、大商所 2,567,862 手，正常"
B 整所夜盘成交丢失,郑商所,ZC,ZC1801,2017-04-18,21:00–23:30,150 根 K 线齐全但成交量全 0、收盘价单一值＝当日结算价,"前一交易夜 1,136 手、后一交易夜 2,296 手；同夜上期所 3,718,732 手、大商所 2,567,862 手，正常"
B 整所夜盘成交丢失,郑商所,MA,MA1801,2017-04-18,21:00–23:30,150 根 K 线齐全但成交量全 0、收盘价单一值＝当日结算价,"前一交易夜 1,302 手、后一交易夜 2,018 手；同夜上期所 3,718,732 手、大商所 2,567,862 手，正常"
B 整所夜盘成交丢失,郑商所,SR,SR1805,2017-04-18,21:00–23:30,150 根 K 线齐全但成交量全 0、收盘价单一值＝当日结算价,"前一交易夜 368 手、后一交易夜 756 手；同夜上期所 3,718,732 手、大商所 2,567,862 手，正常"
B 整所夜盘成交丢失,郑商所,CF,CF1707,2017-04-18,21:00–23:30,150 根 K 线齐全但成交量全 0、收盘价单一值＝当日结算价,"前一交易夜 80 手、后一交易夜 126 手；同夜上期所 3,718,732 手、大商所 2,567,862 手，正常"
B 整所夜盘成交丢失,郑商所,SR,SR1809,2017-04-18,21:00–23:30,150 根 K 线齐全但成交量全 0、收盘价单一值＝当日结算价,"前一交易夜 56 手、后一交易夜 76 手；同夜上期所 3,718,732 手、大商所 2,567,862 手，正常"
B 整所夜盘成交丢失,郑商所,RB,RB1712,2017-04-18,21:00–23:30,120 根 K 线齐全但成交量全 0、收盘价单一值＝当日结算价,"前一交易夜 18 手、后一交易夜 44 手；同夜上期所 3,718,732 手、大商所 2,567,862 手，正常"
B 整所夜盘成交丢失,郑商所,RM,RM1708,2017-04-18,21:00–23:30,150 根 K 线齐全但成交量全 0、收盘价单一值＝当日结算价,"前一交易夜 2 手、后一交易夜 46 手；同夜上期所 3,718,732 手、大商所 2,567,862 手，正常"
